GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,index,ID,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,z_2,stellar_mass,error_stellar_mass,log_SFR,error_log_SFR,survey,band,FUV,fuv_magerr,NUV,nuv_magerr
1065r,35.41580960108751,-7.621241997560796,5000.0,0.1489,,1.5,1.5,1.5,0.0,0.0,1.0,1.0,55.79102327965468,75.21540159948134,0.4164434868626184,-1.5804956570486537,-0.8033212496953217,-0.1344098443357706,0.5346178412437439,0.0,-0.9783710027717932,-99.0,0.0362704918032786,0.0776580415100422,0.2546844439871401,0.2347131997479717,1.3625475668908278,0.0679133383558844,20.43846893510314,2.342297187602057,320.957227743695,319.6057391090616,0.359306204858877,2.6808301997856483,2.0,0.0,0.27,0.3462954865095246,1.3088157,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,6155.0,18.5,333.5,0.0,3.0,0.01742,0.0024900001008063,7.0,0.0,3.0,50.0,4.0,7.0,15.3,0.0,0.0,0.0,0.0,1065,6253,SER,0.458597967747821,344.2429,0.0014,343.5788,0.0017,36.8977,0.1692,16.0178,0.002,6.3422,0.0153,0.7828,0.0005,12.5279,0.0786,344.2429,0.0014,343.5788,0.0017,31.6498,0.1123,15.0860,0.0016,5.5598,0.0102,0.7828,0.0005,12.5279,0.0786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.2429,0.0014,343.5788,0.0017,21.2221,0.0604,14.5733,0.0014,4.0051,0.0071,0.7828,0.0005,12.5279,0.0786,287406,,6253,17.022411,15.918981,15.45752,15.13598,15.494631,15.998356,,,1.1034307,0.4614601,0.78300095,0.32154083,0.1489,11.561,0.032,-0.042,0.532,GII,1,-999.0,-999.0,21.66413,0.1330014
239r,206.82835229399188,12.402478263113585,5000.0,0.0495,,9.015640947010311,19.117711956104788,33.1394145400727,117.05760135381462,116.72947518325864,42.36288686829506,45.352285323457856,19.0301975245938,21.248983289457787,0.5152555572697534,-1.3554036611421716,-0.4701902543431959,-0.005298107201706,0.1335293352603912,2.8267411214790705,0.3821722629588797,0.1654513670781971,0.1427475057559478,0.2436354221719671,0.0754655163095157,0.5121829177841318,0.6629506694994871,0.044433571757723,14.289508007204269,0.6348992225313402,319.9020603410773,317.63156151588703,0.2581316977179881,0.5684759539261885,1.0,0.0,0.27,0.3462954865095246,1.2731602,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2214.0,17.5,126.8,0.0,3.0,0.03056,0.0051799998618662,5.9,0.0,3.0,50.0,3.8,5.9,10.1,0.0,0.0,0.0,0.0,239,5219,SER,0.369584531146082,344.9172,0.0128,343.1672,0.0106,22.5888,0.0747,17.6195,0.0029,1.2191,0.0046,0.8223,0.0010,55.952,0.3201,344.9172,0.0128,343.1672,0.0106,22.3059,0.0466,17.1774,0.0019,1.2530,0.0025,0.8223,0.0010,55.952,0.3201,344.9172,0.0128,343.1672,0.0106,22.036,0.0602,17.0000,0.0023,1.2854,0.0035,0.8223,0.0010,55.952,0.3201,344.9172,0.0128,343.1672,0.0106,21.7439,0.1019,16.9053,0.0042,1.3204,0.0064,0.8223,0.0010,55.952,0.3201,402682,,5219,17.688139,17.339458,17.160997,17.167017,17.98273,18.925539,16.422306,13.00187,0.3486805,0.17846107,0.17244148,-0.0060195923,0.0495,8.865,0.049,-0.279,0.024,AIS,3,18.82175,0.102487,18.78526,0.05063036
770r,133.4657616727374,30.02860744606661,5000.0,0.085,,2.9723186044420387,6.149436601236719,11.537321628625548,76.01450309923632,76.8368623313105,14.439824553377324,17.15402884920618,7.244556379109051,8.651783474358798,0.5158164575409439,-1.8628251691562252,-0.1157706929470636,-0.0752744055471809,0.2837353944778442,2.9450481994182653,0.0128758279521042,0.0108297428404323,0.0031746031746031,0.0,0.0332852373051352,0.0850786655983008,0.7153974148437056,0.2304380168579748,5.93014814571666,1.1873405461711142,319.64877516612063,319.8287742684069,0.3505130754397076,0.5414139157790603,0.0,0.0,0.27,0.3462954865095246,1.5361102,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,828.0,25.4,32.6,0.0,3.0,0.04118,0.0049700001254677,8.3,0.0,3.0,50.0,4.1,8.3,22.1,0.0,0.0,0.0,0.0,770,2055,SER,0.909919256417722,573.6413,0.0025,573.4154,0.0016,15.9834,0.0142,17.1402,6.0E-4,1.5765,0.0018,0.4315,0.0002,59.4547,0.0193,573.6413,0.0025,573.4154,0.0016,16.8138,0.0166,16.4496,0.0007,1.7623,0.0019,0.4315,0.0002,59.4547,0.0193,573.6413,0.0025,573.4154,0.0016,17.6061,0.0308,16.0765,0.0019,1.9396,0.0034,0.4315,0.0002,59.4547,0.0193,573.6413,0.0025,573.4154,0.0016,18.4638,0.0484,15.8943,0.0017,2.1315,0.0054,0.4315,0.0002,59.4547,0.0193,496145,,2055,18.576813,17.683193,17.31079,17.068312,17.428436,17.944094,16.676657,15.294273,0.89361954,0.3724041,0.6148815,0.24247742,0.085,10.272,0.055,-0.669,0.643,MIS,1,-999.0,-999.0,23.84124,0.4393416
376r,123.647400640168,25.06948458735056,5000.0,0.0397,,5.114781321868239,9.479153926093163,15.162378867789862,206.61724867909248,207.44188854184927,19.113601891841533,22.22219856171554,9.86692212222591,11.544782257365744,0.4286988664096586,-1.661332870640415,-0.686636931918382,-0.1335133912734556,0.3741172254085541,2.3597013687876256,0.050887961933702,0.0244932010153875,0.0,0.0,0.0294435013589552,0.1071868815365471,0.4573528372296399,0.2616863714010927,9.994272646005228,0.6293654617648679,319.56939529682984,319.44131139751823,0.2342142227741237,1.7991301898813756,0.0,0.0,0.27,0.3462954865095246,1.64396,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2387.0,29.1,82.0,0.0,3.0,0.02991,0.0027300000656396,10.9,0.0,3.0,50.0,4.6,10.9,50.5,0.0,0.0,0.0,0.0,376,1513,SER,0.574171440536396,573.6202,2.0E-4,574.1667,2.0E-4,38.1869,0.0753,16.3982,0.0028,1.1638,0.0027,0.8838,0.0008,-67.3434,0.3668,573.6202,2.0E-4,574.1667,2.0E-4,39.042,0.0711,15.9350,0.0022,1.2952,0.0024,0.8838,0.0008,-67.3434,0.3668,573.6202,2.0E-4,574.1667,2.0E-4,39.8579,0.1149,25.5542,0.0000,1.4206,0.0039,0.8838,0.0008,-67.3434,0.3668,573.6202,2.0E-4,574.1667,2.0E-4,40.7412,0.1779,15.6027,0.0028,1.5564,0.0061,0.8838,0.0008,-67.3434,0.3668,470519,,1513,17.150898,16.672586,16.509317,16.353931,16.705626,17.19732,14.950686,15.18228,0.47831154,0.16326904,0.318655,0.15538597,0.0397,9.654,0.059,-0.11,0.05,MIS,1,-999.0,-999.0,19.33441,0.04816663
33r,202.6120361443454,-1.5298546681235563,5000.0,0.0134,,8.935344985335027,19.18903233006221,37.01269469195206,141.30511024853658,141.18544910706066,46.75389806276869,50.57377479046301,19.948783662487383,22.346344140851148,0.5354307625776155,-1.5785990413614102,-0.2156485895773459,-0.0163488117973967,0.1243638098239898,3.0861968999144667,0.3107577368142148,0.0200621629374577,0.0252301397886123,0.0626685249990122,0.1868376770813477,0.5295075811624647,0.4252917738009381,0.0380563270284021,19.120957098103677,0.840890416484479,319.088240507508,324.14835833833945,0.2650555151292123,1.8138922155979131,0.0,0.0,0.27,0.3462954865095246,1.220835,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,7481.0,16.1,465.9,0.0,3.0,0.00869,9.800000116229E-4,8.8,0.0,3.0,50.0,4.6,8.8,22.2,0.0,0.0,0.0,0.0,33,8663,SER,0.361646516681364,342.8381,0.0067,343.6932,0.0038,11.63,0.0267,17.7529,0.0016,1.5557,0.0047,0.4447,0.0005,-88.4861,0.0572,342.8381,0.0067,343.6932,0.0038,12.543,0.0238,17.4936,0.0016,1.5471,0.0036,0.4447,0.0005,-88.4861,0.0572,342.8381,0.0067,343.6932,0.0038,13.414,0.0402,17.4212,0.0025,1.5389,0.0054,0.4447,0.0005,-88.4861,0.0572,342.8381,0.0067,343.6932,0.0038,14.357,0.0638,17.2804,0.0036,1.5300,0.0086,0.4447,0.0005,-88.4861,0.0572,322538,,8663,17.598324,17.165525,17.004892,16.890173,17.687004,18.274508,17.828705,,0.4327984,0.16063309,0.27535248,0.11471939,0.0134,8.26,0.083,-1.396,0.148,AIS,3,20.00131,0.1963634,19.63903,0.1308773
161r,6.097811120137832,-0.5144885273005414,5000.0,0.041,,6.175368438651279,13.3156060106317,23.02838349752807,70.81872599567834,70.0577853249654,29.36454074833791,38.98904812666356,13.348591585722966,19.676722169216383,0.495524129907089,-1.7335375030532116,-0.3058140673440332,-0.0773928243163782,0.1667908430099487,2.858002897045533,0.0778928569751095,0.0231266917619359,0.0579710144927536,0.232228475616492,0.1254494753830211,0.102752235457979,0.1800148221529501,0.0638490511371432,16.699508098886998,0.4688491449635372,319.88034965287943,317.447982659484,0.5794421753397475,1.413302182280803,0.0,0.0,0.27,0.3462954865095246,1.1702954,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1933.0,14.8,131.0,0.0,3.0,0.02282,0.0022799998987466,10.0,0.0,3.0,50.0,4.5,10.0,21.5,0.0,0.0,0.0,0.0,161,4059,SER,0.754229303873899,344.5218,0.0041,343.2795,0.0027,11.4125,0.0172,18.1968,0.001,1.4996,0.0037,0.3094,0.0003,56.6034,0.0269,344.5218,0.0041,343.2795,0.0027,11.9272,0.012,17.6398,0.0009,1.4393,0.0025,0.3094,0.0003,56.6034,0.0269,344.5218,0.0041,343.2795,0.0027,12.4183,0.0161,17.3844,0.0017,1.3818,0.0028,0.3094,0.0003,56.6034,0.0269,344.5218,0.0041,343.2795,0.0027,12.9498,0.026,17.1971,0.0015,1.3195,0.0043,0.3094,0.0003,56.6034,0.0269,327512,,4059,18.116701,17.680523,17.513113,17.386608,17.965832,18.395433,15.681736,14.09122,0.4361782,0.1674099,0.2939148,0.1265049,0.041,9.176,0.058,-0.679,0.056,GII,3,20.31636,0.08083997,20.02043,0.06175241
452r,174.10515468235536,-2.9437436934805445,5000.0,0.0498,,4.234663203406969,8.496468458934277,15.291100999505154,105.05328884739232,104.9393331504711,19.15463435333351,27.68042052409686,8.902498218434314,13.349943801435856,0.510256480087346,-1.422200601924111,-0.448645406434228,-0.0195319683809788,0.3077918589115143,2.788099408508322,-0.04682150010992,0.0034642682424576,1.0,0.6047585776024975,0.0762144770599395,-0.3225407557836138,0.1802199757937319,0.2190704052899215,12.678180871861876,0.7905087081872441,320.9658923579114,320.24950022798,0.7385635292166038,0.1602269152731281,2.0,0.0,0.27,0.3462954865095246,1.2396024,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1521.0,16.6,91.9,0.0,3.0,0.02346,0.0020399999339133,11.5,0.0,3.0,50.0,4.6,11.5,47.7,0.0,0.0,0.0,0.0,452,3843,SER,0.375867976855674,343.9329,0.0024,344.1123,0.0029,6.4644,0.0463,17.6435,0.0035,4.9496,0.0364,0.6497,0.0014,1.3673,0.1553,343.9329,0.0024,344.1123,0.0029,6.4536,0.0298,16.7480,0.0024,4.1414,0.0235,0.6497,0.0014,1.3673,0.1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.9329,0.0024,344.1123,0.0029,6.4321,0.0295,16.2265,0.0029,2.5355,0.0173,0.6497,0.0014,1.3673,0.1553,313784,,3843,18.137957,17.425121,17.10397,16.902376,17.056273,17.553638,15.710429,14.996427,0.7128353,0.32115173,0.52274513,0.2015934,0.0498,9.875,0.057,-0.41,0.155,AIS,1,-999.0,-999.0,21.91566,0.3841992
290r,6.833183139101775,-0.963764628334356,5000.0,0.0675,,6.747788120308175,12.309154463799516,19.531508239514924,89.15707187869855,89.03719798194169,24.600900451726076,26.262272425363083,12.497032874898675,13.531518990873204,0.4747372805883857,-1.401976535475215,-0.6384807220031661,-0.051884830648553,0.1909513771533966,2.3078717191446723,0.3201347967528346,0.0482547336769983,0.0915750915750915,0.0959648573127357,0.2574329904620084,0.1400094185638233,0.4410526925979544,0.0654628311980637,12.628842040223429,0.3850660114099211,315.77051706163377,324.197355344981,0.1541326297621252,1.8474616443041985,0.0,0.0,0.27,0.3462954865095246,1.1543843,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1955.0,14.4,136.2,0.0,3.0,0.02735,0.0027799999807029,9.8,0.0,3.0,50.0,4.3,9.8,22.3,0.0,0.0,0.0,0.0,290,3758,SER,0.630355323800703,343.9921,0.0023,344.7747,0.0027,8.4621,0.0068,17.9971,8.0E-4,0.8251,0.0018,0.7222,0.0005,39.5854,0.081,343.9921,0.0023,344.7747,0.0027,8.3795,0.0048,17.6029,0.0007,0.8882,0.0012,0.7222,0.0005,39.5854,0.081,343.9921,0.0023,344.7747,0.0027,8.3006,0.0061,17.4758,0.0020,0.9484,0.0016,0.7222,0.0005,39.5854,0.081,343.9921,0.0023,344.7747,0.0027,8.2152,0.0096,17.3518,0.0011,1.0136,0.0026,0.7222,0.0005,39.5854,0.081,324635,,3758,17.969042,17.683912,17.570036,17.48395,18.675222,20.894386,20.33933,12.205322,0.28512955,0.11387634,0.19996262,0.08608627,0.0675,9.334,0.058,-0.138,0.02,AIS,3,19.22413,0.09316155,19.12872,0.05808195
1163r,144.78908606513895,0.9844753619840728,5000.0,0.0244,,3.230003963411881,7.169505022794005,13.579651225881769,77.88723163097919,77.98044925470029,16.894413651882594,20.113066167133777,8.364222635574146,10.191499340674056,0.5192919293812155,-1.9117209215573,-0.0646823509237743,-0.0786301980090613,0.2461238950490951,3.1184278030574792,0.0513342078097778,0.0285450728631088,0.0017482517482517,0.0,0.0181361273267849,0.1330765107096936,0.3169183856989546,0.1150872441042265,8.0926812209461,1.4858552609975095,320.0326139717756,319.9456620072364,0.3066779096811323,1.648970448706608,0.0,0.0,0.27,0.3462954865095246,1.2192227,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2369.0,16.0,147.9,0.0,3.0,0.00945,0.0014600000577047,6.5,0.0,3.0,50.0,3.7,6.5,24.4,0.0,0.0,0.0,0.0,1163,2166,SER,0.56762502387141,572.9376,0.0017,573.4333,0.0021,,,18.1368,0.0012,,,,,3.6248,0.07109999656677246,572.9376,0.0017,573.4333,0.0021,,,,,,,,,3.6248,0.07109999656677246,572.9376,0.0017,573.4333,0.0021,9.234100341796875,0.0295,,,,,,,3.6248,0.07109999656677246,572.9376,0.0017,573.4333,0.0021,8.683799743652344,0.04910000041127205,17.3099,0.0036,,,,,3.6248,0.07109999656677246,336707,1448p010,2166,18.20504,17.643845,17.439127,17.276436,17.963211,19.15149,16.24155,13.072391,0.5611954,0.20471764,0.36740875,0.16269112,0.0244,8.913,0.06,-1.039,0.114,MIS,3,20.82301,0.07602106,20.48815,0.05563092
233r,228.16020761767464,0.960467385071539,5000.0,0.0261,,11.850431786945553,23.36334063057592,41.20886242201868,114.31472154774104,112.13218686955408,52.86038545641262,70.50575357452641,23.742253458455917,33.62333982775918,0.4878743861144871,-1.3513663948984265,-0.6085248770686791,-0.031844286637539,0.1211559548974037,2.706282255781898,0.1046983322139425,0.0560845939999206,0.0264244426094137,0.5367174836981794,0.1999458669085302,0.0833221263317067,0.2275667150618501,0.0349265675826387,29.55695607750591,0.387121440851305,319.78471459041566,322.02594762114506,0.6881907404030146,2.4201550725339223,0.0,0.0,0.27,0.3462954865095246,1.6949116,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,3336.0,30.9,107.8,0.0,3.0,0.0197,0.0028999999631196,6.8,0.0,3.0,50.0,4.0,6.8,13.4,0.0,0.0,0.0,0.0,233,4730,SER,0.345021917421405,573.0873,0.0018,574.0529,0.0029,8.6381,0.0147,17.2844,0.0011,2.1163,0.0046,0.4455,0.0004,-17.2973,0.0368,573.0873,0.0018,574.0529,0.0029,9.9835,0.0125,16.8693,0.0009,2.1776,0.0033,0.4455,0.0004,-17.2973,0.0368,573.0873,0.0018,574.0529,0.0029,11.2671,0.0204,16.6947,0.0013,2.2361,0.0040,0.4455,0.0004,-17.2973,0.0368,573.0873,0.0018,574.0529,0.0029,12.6567,0.0324,16.5108,0.0016,2.2994,0.0061,0.4455,0.0004,-17.2973,0.0368,337040,,4730,17.86193,17.409445,17.186289,17.103489,18.042265,18.892387,,,0.45248604,0.22315598,0.3059559,0.08279991,0.0261,8.933,0.081,-0.714,0.099,AIS,3,20.55452,0.2078145,19.65258,0.1165294
