Group,Gal,ID,ra,dec,type,CHI2NU,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,zmemb,gmemb,FUV,NUV,GAL,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,r_theta,Rij,sigmalos
1,1,1645,0.079356474601419,-22.57609230832414,SER,0.444957228543347,9.8294,0.0435,18.256,0.0034,1.7689,0.0117,9.0826,0.0228,17.6082,0.0018,2.3542,0.0070,8.3702,0.0367,17.3253,0.0028,2.9126,0.0137,7.5989,0.0678,17.2215,0.0056,3.5171,0.0241,18.290874,17.58394,17.242495,17.028875,17.22928,17.531992,15.749675,,0.706934,0.34144592,0.55506516,0.21361923,0.0,,20.2714,19.9779,502r,5000.0,0.0166666666666666,,3.5851450453606524,8.290109204036382,16.460387920565,77.45687009032696,77.50354922830722,21.1178767844892,22.125862732132838,8.418373522238092,8.81704068255067,0.5552932161637162,-1.9961358578727664,0.1720235695162228,-0.0547226002422355,0.1925962567329406,3.3096666761396487,0.1029817003831627,0.029246299934378,0.0072992700729927,0.0085533396954973,0.0196222176039828,0.1710698082780974,0.2756418428838809,0.1151185704867214,7.060228949629063,1.140369205588068,319.9996674746815,319.999992657722,0.0728946161163073,1.872077290449873,0.0,0.0,0.27,0.3462954865095246,1.2320019,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1417.0,16.4,86.7,0.0,3.0,0.02325,0.0036800000816583,6.3,0.0,3.0,50.0,3.8,6.3,17.0,0.0,0.0,0.0,0.0,0.913,,
1,3,2068,0.1003956575335607,-22.58890589524607,SER,0.444957228543347,13.0738,0.0145,17.5166,0.0011,0.5929,0.0020,12.7210,0.0083,16.9496,7.0E-4,0.7123,0.0010,12.3844,0.0121,16.6317,9.0E-4,0.8263,0.0017,12.0200,0.0215,16.484,0.0019,0.9497,0.0032,17.540775,16.960888,16.62408,16.450392,16.640575,17.031475,15.055349,12.263554,0.5798874,0.33680725,0.51049614,0.17368889,0.0,,19.3392,19.222,503r,5000.0,0.0166666666666666,,5.686526030303013,10.951587940134583,17.059201966025988,154.17298516388502,154.03163852803516,21.83539753922428,26.176668614242345,11.019467273886578,13.16269388169804,0.4248309290123353,-1.702867390586636,-0.6769997997124015,-0.1431159475693305,0.2870846092700958,2.3855583970444174,0.1167109565876499,-0.0081588667274832,0.0037907505686125,0.0,0.0700407030652667,0.1269103733216252,0.1560173854071649,0.1536143228978515,12.420797791357714,0.4655001037763897,320.3146596969144,319.65861473229614,0.3220230762518127,1.580506503961409,0.0,0.0,0.27,0.3462954865095246,1.2320019,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1871.0,16.4,114.4,0.0,3.0,0.04945,0.0035500000230968,13.9,0.0,3.0,50.0,5.2,13.9,37.2,0.0,0.0,0.0,0.0,0.913,,
1,2,1873,0.0912554639415616,-22.58790183800087,SER,0.444957228543347,8.3541,0.0228,18.9807,0.0025,0.4985,0.0061,8.3075,0.0169,18.6522,0.0021,0.6517,0.0035,8.2629,0.0276,18.4092,0.0031,0.7978,0.0070,8.2147,0.0452,18.3382,0.0064,0.9559,0.0125,18.981915,18.665445,18.426931,18.363974,18.964104,18.848747,,,0.3164692,0.23851395,0.3014717,0.06295776,0.0,,20.2043,19.9377,2r,5000.0,0.0166666666666666,,3.577855202639801,6.7565381399304165,11.284326799095089,33.55413710691688,33.24775713126471,13.950650264898073,17.16224211624838,6.820528288369829,9.012273497037096,0.4252600369399373,-1.6515851749749102,-0.7104142908896973,-0.1355629027509746,0.223681166768074,2.4942644726289798,0.0896143375787717,0.0060773648409197,0.0124688279301745,0.0,0.0927803789133068,-0.0249176401085009,0.3089084108112433,0.1099167154887024,7.964197603046573,0.4518836952103555,320.2461429682516,319.7490888378901,0.5102805489764339,2.862344108532755,0.0,0.0,0.27,0.3462954865095246,1.301461,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,579.0,18.2,31.7,0.0,3.0,0.03492,0.0035600000992417,9.8,0.0,3.0,50.0,4.3,9.8,24.5,0.0,0.0,0.0,0.0,0.913,,
1,4,2346,0.1116390025805499,-22.59598038394762,SER,0.444957228543347,7.9672,0.0519,18.4698,0.004,2.7676,0.0227,7.8358,0.0283,18.1628,0.0022,2.5567,0.0122,7.7105,0.0412,17.8759,0.0033,2.3555,0.0166,7.5749,0.0752,17.86,0.0072,2.1377,0.0306,18.593979,18.276794,17.964882,17.943258,18.029198,18.554888,15.994004,11.141788,0.31718445,0.31191254,0.33353615,0.021623611,0.0,,20.0727,19.8536,505r,5000.0,0.0166666666666666,,2.8113713922670707,5.910693555633823,11.443138246390358,50.25580574220294,62.96331454198572,13.587192371125203,53.01235810579044,9.34513518587362,17.25691226084129,0.6739555437613641,-2.002405167988392,0.7637467230347079,0.061881669973364,0.1213643848896026,3.04813461746656,0.1163213697559825,-0.0033907524022242,0.1521739130434782,0.0311330756395545,0.073759541377151,0.081154316119899,1.0079648633140452,0.1573543637202114,6.202922643629815,1.268479950280261,320.1711174640957,320.0714708299546,0.4777806952883016,2.271027867963899,0.0,0.0,0.27,0.3462954865095246,1.2320019,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1343.0,16.4,82.1,0.0,3.0,0.01606,0.0036100000143051,4.5,0.0,3.0,50.0,3.3,4.5,10.6,0.0,0.0,0.0,0.0,0.913,,
2,3,4495,0.3587273382901289,13.11244513656859,DUP,2.13987225133761,34.5105,0.0196,14.9923,5.0E-4,1.3016,0.0010,34.1450,0.0157,14.4693,4.0E-4,1.3699,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,33.4186,0.0368,14.0924,9.0E-4,1.5055,0.0017,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.017532,,17.1312,16.6332,455r,5000.0,0.0166666666666666,,12.428152225725054,27.213320250729097,47.90665641622371,1444.7871609057029,1446.461153945279,60.065995545802224,79.24783805754062,28.113330666949803,36.23545602895981,0.5499606512825843,-1.52672539813619,-0.1796740752428278,0.0052462144288279,0.296438604593277,2.9299464841709275,0.3396884352518462,0.0420462391365464,0.0082801449025357,0.0519778096837577,0.1434553512614585,0.3631832776738919,0.2581125886889872,0.2060491244597581,29.4791525034512,0.8417978532078338,320.760538221273,322.9492269812382,0.3504456189432606,0.9185011297560866,2.0,0.0,0.27,0.3462954865095246,1.2880095,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,15339.0,17.9,858.2,0.0,3.0,0.04076,0.0041499999351799,9.8,0.0,3.0,50.0,4.5,9.8,28.8,0.0,0.0,0.0,0.0,1.611,32.94,193.85
2,2,4494,0.3331994716833093,13.11123683829803,DUP,2.13987225133761,44.2328,0.0215,13.4622,3.0E-4,3.5631,0.0013,46.4146,0.0161,12.6362,2.0E-4,3.8038,0.0010,0.0,0.0,0.0,0.0,0.0,0.0,50.7497,0.0335,11.9764,4.0E-4,4.2819,0.0018,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.017899,,16.7561,16.2019,456r,5000.0,0.0166666666666666,,23.58584306536231,43.72019836028031,71.38313847179413,4241.148704994138,4216.078735737498,92.13100270672284,113.41102836370182,44.25910057431293,58.783671747391296,0.5216426671789602,-1.782022830433469,-0.1429269759737526,-0.0582749329230815,0.3882557153701782,2.4047211697905646,-6.203751766749E-4,0.0519848101467841,0.0398613518197573,0.4706542105941748,0.0512267961473403,0.2476000596535163,0.1437768325795533,0.3763020484093843,48.25674375579878,0.6862184169925561,318.4709334528395,319.97240333780525,0.4576303982529207,2.971524449553313,1.0,0.0,0.27,0.3462954865095246,1.2880095,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,30812.0,17.9,1723.9,0.0,3.0,0.06161,0.0043700002133846,14.1,0.0,3.0,50.0,5.2,14.1,45.5,0.0,0.0,0.0,0.0,1.611,32.94,193.85
2,1,910,0.3129815262621921,13.11314170389291,SER,2.13987225133761,36.5639,0.0625,16.3771,0.0015,1.1081,0.0026,36.2660,0.0488,15.8409,0.0013,1.0998,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,35.6739,0.1028,15.4709,0.0026,1.0833,0.0042,16.441471,15.880131,Infinity,15.47638,16.136421,16.660906,15.554382,16.187887,0.56134033,Infinity,0.40375042,Infinity,0.018646,,18.5922,18.186,457r,5000.0,0.0166666666666666,,10.044197788273012,21.67580085179784,39.39775741920256,443.29432616141935,436.8586742756343,52.61785635857857,65.52460227561157,21.841181103066592,31.871594924916263,0.4983199466291969,-1.6111748729273172,-0.3767720772468443,-0.0576165601739921,0.2553062736988067,2.967781228291856,0.0960898919285378,0.0033389772155182,0.0437100213219616,0.0626458856842765,0.0535759856374067,0.1159748821338726,0.1723895735054447,0.1261505920688053,31.055113169703404,0.8064234816870098,319.46636644855056,320.6956394630919,0.6908051611882063,2.4610349723165257,0.0,0.0,0.27,0.3462954865095246,1.3426262,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,5554.0,19.4,286.0,0.0,3.0,0.0409,0.0045699998736381,9.0,0.0,3.0,50.0,4.4,9.0,23.7,0.0,0.0,0.0,0.0,1.611,32.94,193.85
2,4,1972,0.3732407814035215,13.09852691955251,SER,2.13987225133761,95.9395,1.0418,16.6742,0.0073,2.3190,0.0146,81.3392,0.6985,16.4273,0.0069,1.9545,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,52.3285,0.8042,16.5689,0.0135,1.2303,0.0195,17.543951,17.160997,Infinity,16.937862,17.898212,18.694412,,,0.38295364,Infinity,0.223135,Infinity,0.0,,19.281,19.2182,458r,5000.0,0.0166666666666666,,14.14454390980229,25.61774827214776,41.42388036921752,178.38063484260817,175.97810739612393,52.632180307231,62.49201566869876,31.69855979490436,39.17840981313215,0.4319602320257303,-1.4473293152533948,-0.8187976360020324,-0.1005381451147489,0.1292435526847839,2.333309153261929,0.2074566177094252,0.1015107975207739,0.9930555555555556,0.9830861711469576,0.230717384188922,0.5512772459839895,1.99906730175707,0.0332760235136881,26.83840217980883,0.3681907258549803,326.77189520539554,317.9432166931921,0.3642464021700543,0.4103103369464397,1.0,0.0,0.27,0.3462954865095246,1.2880095,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,4362.0,17.9,244.1,0.0,3.0,0.02487,0.0041499999351799,6.0,0.0,3.0,50.0,4.0,6.0,9.8,0.0,0.0,0.0,0.0,1.611,32.94,193.85
3,2,6959,2.837759217243158,-53.98101274211389,SER,1.29447729146699,7.9612,0.0126,18.122,0.0015,0.7598,0.0034,7.7652,0.0083,17.6359,0.0011,0.8373,0.0019,7.5781,0.0122,17.3781,0.0016,0.9113,0.0031,7.3757,0.0204,17.2826,0.0027,0.9913,0.0056,18.144655,17.64211,17.369955,17.241,17.62722,18.07626,15.657281,,0.5025444,0.27215576,0.4011116,0.12895584,0.0,,20.0492,19.6655,700r,5000.0,0.0166666666666666,,3.9432462896576874,7.524457169878169,11.95893576361392,82.83523814302676,82.86846925097953,15.122818480978754,16.220198200428968,7.697790268847114,8.212015513005465,0.4360496692268773,-1.6809219186435531,-0.6366752477069753,-0.1289589741568453,0.2944557070732116,2.409193148851853,0.1248090840149381,0.0051507320822517,0.0,0.0,0.0761489584782211,0.1999046253488643,0.3731195182001128,0.1677316393932633,7.58192650919305,0.5897303425476763,319.83376922554874,319.94826509752386,0.171205028191063,2.5489930910442213,0.0,0.0,0.27,0.3462954865095246,1.1899415,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1216.0,15.3,79.7,0.0,3.0,0.02959,0.0024399999529123,12.1,0.0,3.0,50.0,4.4,12.1,46.0,0.0,0.0,0.0,0.0,1.249,,
3,4,7291,2.852407391719842,-53.9310223008958,SER,1.29447729146699,36.2658,0.0217,15.404,5.0E-4,0.9882,0.0009,39.4387,0.0252,14.7606,5.0E-4,1.5277,0.0010,42.4660,0.0458,14.4776,8.0E-4,2.0424,0.0017,45.7431,0.0716,14.278,0.0011,2.5996,0.0027,15.351681,14.765882,14.492288,14.339665,14.798617,15.245937,13.267138,13.086854,0.58579826,0.27359486,0.42621708,0.15262222,0.041719,,17.7296,17.3873,701r,5000.0,0.0166666666666666,,12.26745842321144,28.78470053273547,47.62113761286859,910.6532689392552,910.2247648548108,61.65313739078546,68.53978948151978,28.801728194111217,33.69251006657594,0.5151813313937051,-1.928696184399943,-0.0732659538119993,-0.085059251551824,0.2599252760410309,2.945225856143895,0.2200954886478598,0.0708856721128141,0.0368098159509202,0.1703550398094503,0.0360786152228606,0.3052736331256456,0.2456354582276487,0.1253074568955667,32.05892584530497,0.4709345893664926,318.8917434910282,317.4173848074004,0.2414913995317373,1.502279223080346,0.0,0.0,0.27,0.3462954865095246,1.2477674,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,13468.0,16.8,802.9,0.0,3.0,0.03693,0.0025899999309331,14.3,0.0,3.0,50.0,5.1,14.3,38.1,0.0,0.0,0.0,0.0,1.249,,
