Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,GAL,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group_2,brickid,brickname,objid,type,ebv_2,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,FUV,NUV
2,3,0.017532,0.3587273382901289,13.11244513656859,,0.27395102652599235,34.5105,1.3016,34.145,1.3699,0.0,0.0,33.4186,1.5055,0.0196,0.001,0.0157,7.0E-4,0.0,0.0,0.0368,0.0017,,,,,0.08077177,455r,0.0166666666666666,,12.428152225725054,27.213320250729097,47.90665641622371,1444.7871609057029,1446.461153945279,60.065995545802224,79.24783805754062,28.113330666949803,36.23545602895981,0.5499606512825843,-1.52672539813619,-0.1796740752428278,0.0052462144288279,0.296438604593277,2.9299464841709275,0.3396884352518462,0.0420462391365464,0.0082801449025357,0.0519778096837577,0.1434553512614585,0.3631832776738919,0.2581125886889872,0.2060491244597581,29.4791525034512,0.8417978532078338,320.760538221273,322.9492269812382,0.3504456189432606,0.9185011297560866,2.0,0.0,0.27,0.3462954865095246,1.2880095,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,15339.0,17.9,858.2,0.0,3.0,0.04076,0.0041499999351799,9.8,0.0,3.0,50.0,4.5,9.8,28.8,0.0,0.0,0.0,0.0,2,404689,0003p130,4495,DUP,0.08077177,0.0,0.0,0.0,0.0,1.5825707,1.2880095,0.0,1.4925475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,17.1312,16.6332
2,2,0.017899,0.3331994716833093,13.11123683829803,,0.44182525923339355,44.2328,3.5631,46.4146,3.8038,0.0,0.0,50.7497,4.2819,0.0215,0.0013,0.0161,0.001,0.0,0.0,0.0335,0.0018,,,,,0.08060997,456r,0.0166666666666666,,23.58584306536231,43.72019836028031,71.38313847179413,4241.148704994138,4216.078735737498,92.13100270672284,113.41102836370182,44.25910057431293,58.783671747391296,0.5216426671789602,-1.782022830433469,-0.1429269759737526,-0.0582749329230815,0.3882557153701782,2.4047211697905646,-6.203751766749E-4,0.0519848101467841,0.0398613518197573,0.4706542105941748,0.0512267961473403,0.2476000596535163,0.1437768325795533,0.3763020484093843,48.25674375579878,0.6862184169925561,318.4709334528395,319.97240333780525,0.4576303982529207,2.971524449553313,1.0,0.0,0.27,0.3462954865095246,1.2880095,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,30812.0,17.9,1723.9,0.0,3.0,0.06161,0.0043700002133846,14.1,0.0,3.0,50.0,5.2,14.1,45.5,0.0,0.0,0.0,0.0,2,404689,0003p130,4494,DUP,0.08060997,0.0,0.0,0.0,0.0,1.5825707,1.2880095,0.0,1.4925475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,16.7561,16.2019
2,1,0.018646,0.3129815262621921,13.11314170389291,-0.5383034321866074,-0.6651499514239116,36.5639,1.1081,36.266,1.0998,0.0,0.0,35.6739,1.0833,0.0625,0.0026,0.0488,0.0019,0.0,0.0,0.1028,0.0042,16.463621127678817,15.900340575035468,,15.482192969931877,0.08065711,457r,0.0166666666666666,,10.044197788273012,21.67580085179784,39.39775741920256,443.29432616141935,436.8586742756343,52.61785635857857,65.52460227561157,21.841181103066592,31.871594924916263,0.4983199466291969,-1.6111748729273172,-0.3767720772468443,-0.0576165601739921,0.2553062736988067,2.967781228291856,0.0960898919285378,0.0033389772155182,0.0437100213219616,0.0626458856842765,0.0535759856374067,0.1159748821338726,0.1723895735054447,0.1261505920688053,31.055113169703404,0.8064234816870098,319.46636644855056,320.6956394630919,0.6908051611882063,2.4610349723165257,0.0,0.0,0.27,0.3462954865095246,1.3426262,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,5554.0,19.4,286.0,0.0,3.0,0.0409,0.0045699998736381,9.0,0.0,3.0,50.0,4.4,9.0,23.7,0.0,0.0,0.0,0.0,2,404689,0003p130,910,SER,0.08065711,265.1013,444.5779,0.0,644.8338,1.5809548,1.3426262,0.0,1.5098474,1.0687332,373129.8,9.556523,44885.47,-0.1056844,7462593.0,0.58465093,1.4950313E7,16.441471,15.880131,Infinity,15.47638,16.136421,16.660906,15.554382,16.187887,0.56134033,Infinity,0.40375042,Infinity,18.5922,18.186
2,4,0.017532,0.3732407814035215,13.09852691955251,-0.6319613380240376,-0.5845268088148998,95.9395,2.319,81.3392,1.9545,0.0,0.0,52.3285,1.2303,1.0418,0.0146,0.6985,0.0117,0.0,0.0,0.8042,0.0195,17.54808792194822,17.180110806831454,,16.93988965556853,0.08053331,458r,0.0166666666666666,,14.14454390980229,25.61774827214776,41.42388036921752,178.38063484260817,175.97810739612393,52.632180307231,62.49201566869876,31.69855979490436,39.17840981313215,0.4319602320257303,-1.4473293152533948,-0.8187976360020324,-0.1005381451147489,0.1292435526847839,2.333309153261929,0.2074566177094252,0.1015107975207739,0.9930555555555556,0.9830861711469576,0.230717384188922,0.5512772459839895,1.99906730175707,0.0332760235136881,26.83840217980883,0.3681907258549803,326.77189520539554,317.9432166931921,0.3642464021700543,0.4103103369464397,1.0,0.0,0.27,0.3462954865095246,1.2880095,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,4362.0,17.9,244.1,0.0,3.0,0.02487,0.0041499999351799,6.0,0.0,3.0,50.0,4.0,6.0,9.8,0.0,0.0,0.0,0.0,2,404689,0003p130,1972,SER,0.08053331,96.03273,136.64732,0.0,167.82423,1.5825707,1.2880095,0.0,1.4925475,0.6900727,115520.11,8.0724945,11882.092,-0.041387293,501559.3,-0.2330424,1279131.4,17.543951,17.160997,Infinity,16.937862,17.898212,18.694412,,,0.38295364,Infinity,0.223135,Infinity,19.281,19.2182
3,2,0.041719,2.837759217243158,-53.98101274211389,-0.05648983360508808,-0.13547894788241877,7.9612,0.7598,7.7652,0.8373,7.5781,0.9113,7.3757,0.9913,0.0126,0.0034,0.0083,0.0019,0.0122,0.0031,0.0204,0.0056,18.186635227894246,17.676911028763428,17.366381997791347,17.243529218562873,0.013003452,700r,0.0166666666666666,,3.9432462896576874,7.524457169878169,11.95893576361392,82.83523814302676,82.86846925097953,15.122818480978754,16.220198200428968,7.697790268847114,8.212015513005465,0.4360496692268773,-1.6809219186435531,-0.6366752477069753,-0.1289589741568453,0.2944557070732116,2.409193148851853,0.1248090840149381,0.0051507320822517,0.0,0.0,0.0761489584782211,0.1999046253488643,0.3731195182001128,0.1677316393932633,7.58192650919305,0.5897303425476763,319.83376922554874,319.94826509752386,0.171205028191063,2.5489930910442213,0.0,0.0,0.27,0.3462954865095246,1.1899415,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1216.0,15.3,79.7,0.0,3.0,0.02959,0.0024399999529123,12.1,0.0,3.0,50.0,4.4,12.1,46.0,0.0,0.0,0.0,0.0,3,63164,0027m540,6959,SER,0.013003452,55.225315,87.73145,112.72442,126.94051,1.2637981,1.1899415,1.1435049,1.2433984,0.8337279,222480.08,2.0223577,651481.3,-0.036698896,2463457.2,0.06467345,4009181.0,18.144655,17.64211,17.369955,17.241,17.62722,18.07626,15.657281,,0.5025444,0.27215576,0.4011116,0.12895584,20.0492,19.6655
3,4,0.041719,2.852407391719842,-53.9310223008958,0.7542563153759847,0.7327530262143149,36.2658,0.9882,39.4387,1.5277,42.466,2.0424,45.7431,2.5996,0.0217,9.0E-4,0.0252,0.001,0.0458,0.0017,0.0716,0.0027,15.41112954418684,14.802987255998694,14.498631432108837,14.34516771928826,0.013674323,701r,0.0166666666666666,,12.26745842321144,28.78470053273547,47.62113761286859,910.6532689392552,910.2247648548108,61.65313739078546,68.53978948151978,28.801728194111217,33.69251006657594,0.5151813313937051,-1.928696184399943,-0.0732659538119993,-0.085059251551824,0.2599252760410309,2.945225856143895,0.2200954886478598,0.0708856721128141,0.0368098159509202,0.1703550398094503,0.0360786152228606,0.3052736331256456,0.2456354582276487,0.1253074568955667,32.05892584530497,0.4709345893664926,318.8917434910282,317.4173848074004,0.2414913995317373,1.502279223080346,0.0,0.0,0.27,0.3462954865095246,1.2477674,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,13468.0,16.8,802.9,0.0,3.0,0.03693,0.0025899999309331,14.3,0.0,3.0,50.0,5.1,14.3,38.1,0.0,0.0,0.0,0.0,3,63164,0027m540,7291,SER,0.013674323,723.31555,1240.6438,1596.1914,1837.1049,1.3978636,1.2477674,1.1959314,1.1699084,1.5316923,2717180.5,10.513629,242138.9,0.11245582,5.6035076E7,0.029920407,2.7842356E7,15.351681,14.765882,14.492288,14.339665,14.798617,15.245937,13.267138,13.086854,0.58579826,0.27359486,0.42621708,0.15262222,17.7296,17.3873
3,3,0.041719,2.842623280146343,-53.953910753132,-0.07832292110110828,-0.07826819307731725,12.9987,0.6455,12.6179,0.8063,12.2546,0.9598,11.8613,1.1259,0.0366,0.0055,0.0328,0.0043,0.0548,0.0083,0.0866,0.0138,18.934976645046646,18.68648766331576,18.40328365859961,18.390660678331162,0.013347207,702r,0.0166666666666666,,4.449985036106099,8.870392816863848,16.04084727334293,34.61196644993578,33.171061647912,20.96955253471558,24.859561821135607,8.893638966426199,12.758757608353836,0.4680002210139442,-1.6017983278948675,-0.5333526647498332,-0.0863297487735818,0.1692146956920623,2.7843437664315007,0.2754357718239874,0.0329598549683634,0.0045385779122541,0.0,0.0201653795770893,0.4692199490000904,0.483790261912667,0.0700831792314116,10.852076227432066,0.473380362006126,319.5877984367025,320.16978996494504,0.6166281764150187,2.591305312843569,0.0,0.0,0.27,0.3462954865095246,1.2221423,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,852.0,16.1,52.9,0.0,3.0,0.02299,0.0025100000202655,9.2,0.0,3.0,50.0,4.3,9.2,22.1,0.0,0.0,0.0,0.0,3,63164,0027m540,7086,SER,0.013347207,26.546524,34.513557,41.891937,43.804474,1.379217,1.2221423,1.1796682,1.1675323,0.7723974,59319.2,3.3150465,66341.98,-0.23501629,941225.44,0.4634793,1443244.5,18.939981,18.655025,18.444674,18.396204,19.029074,,16.632574,,0.28495598,0.21035194,0.2588215,0.048469543,19.9107,19.7047
3,1,0.041719,2.834674521202194,-53.95652455274381,0.011079016173265899,0.08172732547323669,6.0261,1.2663,6.2935,1.2493,6.5486,1.2331,6.8247,1.2155,0.0303,0.0133,0.0223,0.0083,0.0355,0.0115,0.0579,0.0197,19.39179972780267,18.996706818627548,18.779765818773352,18.711423937204774,0.013247969,703r,0.0166666666666666,,2.7445597720510526,5.3915273426790735,9.580134626249764,27.492430609758777,27.59705794841949,11.618304543780186,14.773281182626905,6.067146505300176,8.037297486551553,0.4723506937510126,-1.5670292497996663,-0.5359127958213188,-0.0771898789086511,0.229852944612503,2.714494593299409,0.1420207156327692,0.0835954289171596,0.0109289617486338,0.0232066843392121,0.2278842251700147,0.2215341220436331,0.4461559603948432,0.1112472396050823,5.995565432179324,0.9149570885734144,319.7542635275969,320.7547450013426,0.49045862638145,1.713555316204728,0.0,0.0,0.27,0.3462954865095246,1.2221423,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,661.0,16.1,41.1,0.0,3.0,0.01856,0.0024999999441206,7.4,0.0,3.0,50.0,3.9,7.4,21.7,0.0,0.0,0.0,0.0,3,63164,0027m540,6881,SER,0.013247969,17.845335,25.962233,29.86704,32.660404,1.379217,1.2221423,1.1796682,1.1675323,1.091572,18952.66,1.5695738,181520.48,0.33486447,626876.56,0.20517439,489438.72,19.37119,18.964146,18.81202,18.714947,19.151058,19.493313,16.51257,14.41983,0.40704346,0.15212631,0.24919891,0.0970726,20.2101,20.5555
10,4,0.051799,5.687584604767833,-20.58857817827894,0.7515989787655872,0.7163490152410059,24.9652,0.8661,24.0932,1.0387,23.2613,1.2034,22.3607,1.3817,0.02,0.0012,0.0136,8.0E-4,0.0221,0.0014,0.0371,0.0024,16.216952482610207,15.655040358105474,15.37406366038418,15.193902337554754,0.021346333,444r,0.0166666666666666,,8.607795658945292,17.857253273393408,31.210631493289945,552.7228971521916,552.7875472765115,41.16151504519114,49.64080602251728,17.83231961865761,22.6857795376601,0.4880881906860741,-1.8296329958710336,-0.2760277899653069,-0.0981116776468603,0.2991873323917389,2.7970530362794177,0.1975619547631524,0.0286040152387721,0.0294117647058823,0.126318647567388,0.0600953024008293,0.298334139585096,0.2008879869811823,0.2008235373218259,19.390497643998383,0.6390403189327568,321.0728641665356,320.27104509548394,0.3636631317751362,0.4769435611689089,0.0,0.0,0.27,0.3462954865095246,1.143581,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,5206.0,14.1,369.5,0.0,3.0,0.05833,0.0053300000727176,10.9,0.0,3.0,50.0,5.1,10.9,29.0,0.0,0.0,0.0,0.0,10,214733,0057m205,1405,SER,0.021346333,344.62363,567.0632,700.28204,837.3827,1.5235689,1.143581,1.7313269,1.086597,1.121632,452501.78,5.7933245,99547.52,-0.1258168,5207018.5,-0.17990994,6759911.5,16.156637,15.615921,15.386818,15.19269,15.553885,16.037384,14.120055,13.752192,0.5407162,0.22910309,0.42323112,0.19412804,18.0196,17.6902
10,1,0.051799,5.653417994681938,-20.57092018426899,0.383245442548084,0.37449055192915104,5.1649,0.7874,4.705,0.9068,4.2662,1.0206,3.7912,1.1439,0.0106,0.0055,0.0068,0.0037,0.0103,0.0075,0.0175,0.0128,18.486952238165447,17.990960857565444,17.6490307287411,17.572424076596544,0.021688515,446r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,214733,0057m205,867,REX,0.021688515,42.02807,65.81303,86.29225,93.36544,1.5235689,1.143581,1.5002943,1.086597,1.0,0.0,1.1660125,290378.44,0.0,0.0,0.0,0.0,18.44115,17.95422,17.66007,17.574535,17.72633,17.692347,15.36086,14.09578,0.48693085,0.2941494,0.37968445,0.08553505,20.2911,19.5066
